principal,apr,term_months,btc_percentage,payment_day,monthly_payment,btc_monthly_amount,total_payments,total_interest,total_btc_investment,btc_accumulated,final_btc_value,net_btc_position,roi_percentage,effective_cost,start_date,end_date
20000.0,3.99,48.0,5.0,15,451.49160122443584,22.574580061221795,21671.596858772922,1671.5968587729221,1083.5798429386464,0.021628166042975572,3044.7202144161165,1961.1403714774701,180.98715883814316,-289.543512704548,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,48.0,7.5,15,451.49160122443584,33.861870091832685,21671.596858772922,1671.5968587729221,1625.3697644079698,0.03244224906446334,4567.080321624172,2941.7105572162022,180.98715883814296,-1270.11369844328,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,48.0,10.0,15,451.49160122443584,45.14916012244359,21671.596858772922,1671.5968587729221,2167.1596858772928,0.043256332085951144,6089.440428832233,3922.2807429549403,180.98715883814316,-2250.683884182018,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,48.0,12.5,15,451.49160122443584,56.43645015305448,21671.596858772922,1671.5968587729221,2708.949607346615,0.05407041510743893,7611.800536040291,4902.850928693677,180.9871588381433,-3231.254069920755,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,48.0,15.0,15,451.49160122443584,67.72374018366537,21671.596858772922,1671.5968587729221,3250.7395288159396,0.06488449812892667,9134.160643248344,5883.4211144324045,180.98715883814296,-4211.824255659482,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,60.0,5.0,15,368.24019294618336,18.41200964730917,22094.411576771003,2094.4115767710027,1104.720578838551,0.035109659254659094,4942.5868583361125,3837.8662794975617,347.40606385123243,-1743.454702726559,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,60.0,7.5,15,368.24019294618336,27.61801447096375,22094.411576771003,2094.4115767710027,1657.080868257826,0.05266448888198868,7413.880287504175,5756.799419246348,347.40606385123294,-3662.3878424753457,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,60.0,10.0,15,368.24019294618336,36.82401929461834,22094.411576771003,2094.4115767710027,2209.441157677102,0.07021931850931819,9885.173716672225,7675.732558995123,347.40606385123243,-5581.320982224121,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,60.0,12.5,15,368.24019294618336,46.03002411827292,22094.411576771003,2094.4115767710027,2761.8014470963767,0.08777414813664774,12356.467145840283,9594.665698743906,347.4060638512326,-7500.254121972903,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,60.0,15.0,15,368.24019294618336,55.2360289419275,22094.411576771003,2094.4115767710027,3314.161736515652,0.10532897776397736,14827.76057500835,11513.598838492697,347.40606385123294,-9419.187261721694,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,72.0,5.0,15,312.8125428809497,15.640627144047485,22522.50308742838,2522.5030874283802,1126.1251543714188,0.05275470239381753,7426.580157781339,6300.45500340992,559.4808870890298,-3777.95191598154,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,72.0,7.5,15,312.8125428809497,23.460940716071228,22522.50308742838,2522.5030874283802,1689.18773155713,0.07913205359072624,11139.870236672,9450.68250511487,559.4808870890286,-6928.17941768649,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,72.0,10.0,15,312.8125428809497,31.28125428809497,22522.50308742838,2522.5030874283802,2252.2503087428377,0.10550940478763506,14853.160315562678,12600.91000681984,559.4808870890298,-10078.40691939146,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,72.0,12.5,15,312.8125428809497,39.10156786011871,22522.50308742838,2522.5030874283802,2815.312885928548,0.1318867559845438,18566.450394453346,15751.137508524798,559.4808870890296,-13228.634421096418,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,3.99,72.0,15.0,15,312.8125428809497,46.921881432142456,22522.50308742838,2522.5030874283802,3378.37546311426,0.15826410718145248,22279.740473344,18901.36501022974,559.4808870890286,-16378.86192280136,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,48.0,5.0,15,460.4952789499275,23.02476394749638,22103.77338959652,2103.773389596521,1105.1886694798256,0.022059476473371756,3105.438242172441,2000.2495726926152,180.98715883814336,103.52381690390598,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,48.0,7.5,15,460.4952789499275,34.537145921244566,22103.77338959652,2103.773389596521,1657.783004219738,0.03308921471005763,4658.157363258661,3000.3743590389226,180.98715883814342,-896.6009694424015,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,48.0,10.0,15,460.4952789499275,46.04952789499276,22103.77338959652,2103.773389596521,2210.3773389596513,0.04411895294674351,6210.876484344882,4000.4991453852303,180.98715883814336,-1896.7257557887092,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,48.0,12.5,15,460.4952789499275,57.56190986874094,22103.77338959652,2103.773389596521,2762.971673699568,0.055148691183429376,7763.595605431099,5000.623931731531,180.98715883814288,-2896.85054213501,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,48.0,15.0,15,460.4952789499275,69.07429184248913,22103.77338959652,2103.773389596521,3315.566008439476,0.06617842942011526,9316.314726517321,6000.748718077845,180.98715883814342,-3896.975328481324,2020-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,60.0,5.0,15,377.3330509379256,18.86665254689628,22639.983056275534,2639.983056275534,1131.9991528137766,0.03597661281338627,5064.632852433422,3932.6336996196455,347.406063851233,-1292.6506433441114,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,60.0,7.5,15,377.3330509379256,28.299978820344418,22639.983056275534,2639.983056275534,1697.998729220666,0.05396491922007942,7596.949278650135,5898.950549429469,347.40606385123283,-3258.967493153935,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,60.0,10.0,15,377.3330509379256,37.73330509379256,22639.983056275534,2639.983056275534,2263.9983056275532,0.07195322562677255,10129.265704866844,7865.267399239291,347.406063851233,-5225.284342963757,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,60.0,12.5,15,377.3330509379256,47.1666313672407,22639.983056275534,2639.983056275534,2829.997882034442,0.08994153203346567,12661.582131083553,9831.58424904911,347.40606385123283,-7191.601192773576,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,60.0,15.0,15,377.3330509379256,56.599957640688835,22639.983056275534,2639.983056275534,3395.997458441332,0.10792983844015884,15193.89855730027,11797.901098858938,347.40606385123283,-9157.918042583404,2019-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,72.0,5.0,15,322.0058896359559,16.100294481797796,23184.424053788825,3184.4240537888254,1159.221202689443,0.05430512702703982,7644.842270820451,6485.621068131008,559.480887089029,-3301.1970143421822,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,72.0,7.5,15,322.0058896359559,24.15044172269669,23184.424053788825,3184.4240537888254,1738.8318040341635,0.08145769054055968,11467.263406230668,9728.431602196504,559.480887089029,-6544.007548407679,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,72.0,10.0,15,322.0058896359559,32.20058896359559,23184.424053788825,3184.4240537888254,2318.442405378886,0.10861025405407965,15289.684541640901,12971.242136262015,559.480887089029,-9786.81808247319,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,72.0,12.5,15,322.0058896359559,40.25073620449449,23184.424053788825,3184.4240537888254,2898.0530067235986,0.1357628175675995,19112.10567705112,16214.05267032752,559.4808870890308,-13029.628616538695,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,4.99,72.0,15.0,15,322.0058896359559,48.30088344539338,23184.424053788825,3184.4240537888254,3477.663608068327,0.16291538108111936,22934.526812461336,19456.86320439301,559.480887089029,-16272.439150604183,2018-11-25 23:00:00,2024-11-25 23:00:00
20000.0,5.99,48.0,5.0,15,469.6088907549834,23.48044453774917,22541.226756239204,2541.2267562392044,1127.0613378119594,0.022496053164580202,3166.8976314809934,2039.836293669034,180.9871588381433,501.3904625701705,2020-11-25 23:00:00,2024-11-25 23:00:00
